ITA,SCN,LUCALI,ABBITANTI,FUNTI,CS
Acate,U Vìscari,"U Vìscari, U Vìschiri, Acati","viscaranu, viscarotu","CS, Castiglione et al. (2013), DT1990, Leone (1995)",1
Aci Bonaccorsi,I Bonaccursi,,bonaccursotu,DT1990,0
Aci Castello,Casteḍḍu,U Castiḍḍazzu,castiḍḍisi,"CSFLS, DT1990",0
Aci Catena,A Catina,,catinotu,"CS, CSFLS, DT1990",1
Aci Sant'Antonio,Sant'Antoniu,(Jaci) Sant'Antoni,"santantunaru, santantunisi",CS,1
Acireale,Jaci (Rijali),,jacitanu,"CS, DT1990",1
Acquaviva Platani,Acquaviva,,acquavivisi,CSFLS,0
Acquedolci,Acquaduci,Euadauza,,,0
Adrano,Dirnò,"Dirnò, Atranu",durnisi,"CS, DT1990",1
Agira,Santu Fulippu,San Fulippu,,CS,1
Agrigento,Girgenti,Giurgenti,,CS,1
Aidone,,"Aidungh, Dadungh, Aiduni, Daduni",,DT1990,0
Alcamo,Àrcamu,,,CS,1
Alcara li Fusi,Larcara,Larcara,,DT1990,0
Alessandria della Rocca,Lisciànnira,Lisciànnira (dâ Rocca),,"CS, DT1990",1
Alì,,Alì Susu,,DT1990,0
Alì Terme,,Alì Jusu,,DT1990,0
Alia,,L'Àlia,liotu,DT1990,0
Alimena,Larmena,"Armena, Larmena",,DT1990,0
Aliminusa,Larminusa,"Larminusa, Arminusa",arminussu,"CS, DT1990",1
Altavilla Milicia,A Mìlicia,,miliciotu,CS,1
Altofonte,U Parcu,,parchitanu,CS,1
Antillo,Antiḍḍu,,,DT1990,0
Aragona,Ragona,Raona,raunisi,"CS, DT1990",1
Assoro,Àsaru,,asarisi,DT1990,0
Augusta,Agusta,Austa,"ustanisi, ustitanu","CS, DT1990",1
Avola,Àvula,"Àula, Àila, Àvula",,"CS, DT1990",1
Bagheria,Bagarìa,Baarìa,"baariotu, bagariotu","Amico1856, CS, DT1990",1
Balestrate,Sicciara,"Sicciara, Balistrati",sicciarotu,DT1990,0
Barcellona Pozzo di Gotto,Barcialona (+ Pizzagottu),Baccialona (+ Pizzaottu),"baccialunisi, pizzauttisi",CS,1
Barrafranca,,,,,0
Basicò,,,,,0
Baucina,,,,,0
Belmonte Mezzagno,,,,,0
Belpasso,Marpassu,Mappassu,,CS,1
Biancavilla,Biancaviḍḍa,,,,0
Bisacquino,Busacchinu,,,CS,1
Bivona,Vivona,,,,0
Blufi,,,,,0
Bolognetta,,,,,0
Bompensiere,,,,,0
Bompietro,,,,,0
Borgetto,U Burgettu,,,CS,1
Brolo,,,,,0
Bronte,Bronti,,,CS,1
Buccheri,Buccheri,Bucchieri,,CS,1
Burgio,Burgiu,,,,0
Buscemi,Buscema,,,CS,1
Buseto Palizzolo,,,,,0
Butera,Vutera,,,CS,1
Caccamo,Càccamu,,,CS,1
Calamonaci,Calamònaci,,,CS,1
Calascibetta,,,,,0
Calatabiano,,,,LCSTrovato,0
Calatafimi-Segesta,Catalafimi,,,"DT1990, LCSTrovato",0
Caltabellotta,Cataviḍḍotta,,,"CS, DT1990, LCSTrovato",1
Caltagirone,Cartaggiruni,Cattaggiruni,,CS,1
Caltanissetta,Nissa,,,CS,1
Caltavuturo,Cartavuturu,,,DT1990,0
Camastra,Camastra,,,,0
Cammarata,Camarata,,,,0
Campobello di Licata,Campubbeḍḍu (d'Alicata),Campubbieḍḍru,,CS,1
Campobello di Mazara,Campubbeḍḍu (di Mazzara),,,CS,1
Campofelice di Fitalia,,,,,0
Campofelice di Roccella,Campufilici (di Rucceḍḍa),,,CS,1
Campofiorito,,,,,0
Campofranco,Campufrancu,,,CS,1
Camporeale,,,,,0
Camporotondo Etneo,,,,,0
Canicattì,Caniattì,,,CS,1
Canicattini Bagni,,,,,0
Capaci,,,,,0
Capizzi,Capizzi,,,DT1990,0
Capo d'Orlando,,,,,0
Capri Leone,Crapi,,,CS,1
Carini,Carini,,,CS,1
Carlentini,Carrintini,Carruntini,,CS,1
Caronia,,,,,0
Casalvecchio Siculo,,,,,0
Cassaro,Càssaru,Càssuru,,CS,1
Castel di Iudica,,,,,0
Castel di Lucio,,,,,0
Castelbuono,,,,,0
Casteldaccia,Castiḍḍazzu,,,DT1990,0
Castell'Umberto,,,,,0
Castellammare del Golfo,,,,,0
Castellana Sicula,,,,,0
Castelmola,,,,,0
Casteltermini,Castirtèrmini,,,,0
Castelvetrano,Casteḍḍuvitranu,,,CS,1
